Time	DAM_STORAGE	LNG_STO	PHES	BATT_LI	BEV_BATT	PHEV_BATT	NEWSOLAR_STORAGE	DAM_STORAGE_in	DAM_STORAGE_out	LNG_STO_in	LNG_STO_out	PHES_in	PHES_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	NEWSOLAR_STORAGE_in	NEWSOLAR_STORAGE_out	
 100	4560.427156	0.000000	160.899109	0.000000	1.772841	0.272847	0.000000	-1.472758	0.154733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028057	0.000000	0.003955	0.000000	0.000000	
 101	4560.737272	0.000000	160.899109	0.000000	1.697668	0.262245	0.000000	-1.471484	1.161368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.074818	0.000000	0.010548	0.000000	0.000000	
 102	4560.558638	0.000000	160.899109	0.000000	1.510283	0.235823	0.000000	-1.470144	1.648777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.187045	0.000000	0.026370	0.000000	0.000000	
 103	4559.429912	0.000000	160.899109	0.000000	1.147582	0.184684	0.000000	-1.468803	2.597529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.362400	0.000000	0.051091	0.000000	0.000000	
 104	4558.436109	0.000000	160.899109	0.000000	0.831714	0.140148	0.000000	-1.467530	2.461334	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.315638	0.000000	0.044499	0.000000	0.000000	
 105	4557.644079	0.000000	160.899109	0.000000	0.539290	0.098917	0.000000	-1.466190	2.258219	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.292258	0.000000	0.041203	0.000000	0.000000	
 106	4557.089453	0.000000	160.899109	0.000000	0.211852	0.052750	0.000000	-1.464782	2.019409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.327330	0.000000	0.046147	0.000000	0.000000	
 107	4556.483063	0.000000	160.899109	0.000000	0.000000	0.000000	0.000000	-1.463576	2.069966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.162280	0.374090	0.000000	0.052740	0.000000	0.000000	
 108	4555.372746	0.000000	160.899109	0.000000	0.000000	0.000000	0.000000	-1.462168	2.572485	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.411500	0.411500	-0.058014	0.058014	0.000000	0.000000	
 109	4554.508680	0.000000	160.899109	0.000000	0.000000	0.000000	0.000000	-1.460828	2.324894	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
