,PHOT,WTOF,WTON,BEVS,HROR
1/18/2016 2:00,0,0,0.129099,0.67390713,0.127724492
1/18/2016 3:00,0,0,0.12899,0.663908692,0.127705789
1/18/2016 4:00,0,0,0.128443,0.649432433,0.127687086
1/18/2016 5:00,0,0,0.13163,0.616334215,0.127668384
1/18/2016 6:00,0,0,0.14394,0.586780269,0.127649681
1/18/2016 7:00,0.004,0,0.191326,0.569862823,0.127630978
1/18/2016 8:00,0.085,0,0.218374,0.531060875,0.127612276
1/18/2016 9:00,0.238,0,0.242551,0.505383378,0.127593573
1/18/2016 10:00,0.356,0,0.255173,0.487306225,0.12757487
1/18/2016 11:00,0.392,0,0.250094,0.478262374,0.127556167
1/18/2016 12:00,0.357,0,0.237954,0.423045307,0.127537465
1/18/2016 13:00,0.267,0,0.227857,0.420428395,0.127518762
1/18/2016 14:00,0.15,0,0.192451,0.429244751,0.127500059
