Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Connected,1983,EAPP,0.000323677,0.015889452,0.000209774,0.010297878
Thermal,Connected,1984,EAPP,0.000313849,0.015728754,0.000203404,0.01019373
Thermal,Connected,1985,EAPP,0.000305929,0.015551814,0.000198271,0.010079056
Thermal,Connected,1986,EAPP,0.00030159,0.015469019,0.000195459,0.010025397
Thermal,Connected,1987,EAPP,0.000294418,0.01533238,0.000190811,0.009936842
Thermal,Connected,1988,EAPP,0.000299764,0.01546091,0.000194276,0.010020142
Thermal,Connected,1989,EAPP,0.000304636,0.015526907,0.000197433,0.010062914
Thermal,Connected,1990,EAPP,0.000312256,0.015671788,0.000202372,0.010156811
Thermal,Connected,1991,EAPP,0.000308104,0.015592921,0.000199681,0.010105697
Thermal,Connected,1992,EAPP,0.000311864,0.015691041,0.000202118,0.010169289
Thermal,Connected,1993,EAPP,0.000328033,0.015972033,0.000212597,0.010351398
Thermal,Connected,1994,EAPP,0.000319696,0.015813581,0.000207194,0.010248706
Thermal,Connected,1995,EAPP,0.000313049,0.015687456,0.000202885,0.010166965
Thermal,Connected,1996,EAPP,0.000306899,0.015596516,0.0001989,0.010108027
Thermal,Connected,1997,EAPP,0.000313076,0.015687384,0.000202903,0.010166919
Thermal,Connected,1998,EAPP,0.000306973,0.01557138,0.000198948,0.010091737
Thermal,Connected,1999,EAPP,0.000320741,0.015833213,0.000207871,0.010261429
Thermal,Connected,2000,EAPP,0.000319448,0.015835272,0.000207032,0.010262764
Thermal,Connected,2001,EAPP,0.000306908,0.015570073,0.000198905,0.01009089
Thermal,Connected,2002,EAPP,0.000320998,0.015838746,0.000208037,0.010265016
Thermal,Connected,2003,EAPP,0.000320639,0.015832071,0.000207805,0.01026069
Thermal,Connected,2004,EAPP,0.000322166,0.015624775,0.000208794,0.010126342
Thermal,Connected,2005,EAPP,0.000316185,0.015584725,0.000204918,0.010100386
Thermal,Connected,2006,EAPP,0.000310213,0.015632015,0.000201047,0.010131034
Thermal,Connected,2007,EAPP,0.000317382,0.015599253,0.000205694,0.010109801
Thermal,Connected,2008,EAPP,0.000322963,0.015902291,0.000209311,0.010306199
Thermal,Connected,2009,EAPP,0.000326235,0.015824752,0.000211432,0.010255946
Thermal,Connected,2010,EAPP,0.00031493,0.015712696,0.000204105,0.010183323
Thermal,Connected,2011,EAPP,0.000310636,0.015640973,0.000201322,0.01013684
Thermal,Connected,2012,EAPP,0.00031789,0.015069123,0.000206023,0.009766227
Thermal,Connected,2013,EAPP,0.00031734,0.015458681,0.000205667,0.010018697
Thermal,Connected,2014,EAPP,0.00032865,0.014767041,0.000212997,0.009570449
Thermal,Connected,2015,EAPP,0.000327435,0.014785828,0.000212209,0.009582624
Thermal,Connected,2016,EAPP,0.000327185,0.015136241,0.000212047,0.009809726
Thermal,Connected,2017,EAPP,0.000329817,0.014355864,0.000213753,0.009303967
